300: ftp://mirror.csclub.uwaterloo.ca/x.org/X11R7.7/src/everything/
200: filename content-length last-modified file-type
201: "libXtst-1.2.1.tar.bz2" 45 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXtst-1.2.1.tar.gz" 44 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXv-1.0.7.tar.bz2" 43 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXv-1.0.7.tar.gz" 42 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXvMC-1.0.7.tar.bz2" 45 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXvMC-1.0.7.tar.gz" 44 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXxf86dga-1.1.3.tar.bz2" 49 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXxf86dga-1.1.3.tar.gz" 48 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXxf86vm-1.1.2.tar.bz2" 48 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXxf86vm-1.1.2.tar.gz" 47 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libdmx-1.1.2.tar.bz2" 44 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libdmx-1.1.2.tar.gz" 43 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libfontenc-1.1.1.tar.bz2" 48 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libfontenc-1.1.1.tar.gz" 47 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libpciaccess-0.13.1.tar.bz2" 51 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libpciaccess-0.13.1.tar.gz" 50 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libpthread-stubs-0.3.tar.bz2" 52 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libpthread-stubs-0.3.tar.gz" 51 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libxcb-1.8.1.tar.bz2" 44 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libxcb-1.8.1.tar.gz" 43 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libxkbfile-1.0.8.tar.bz2" 48 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libxkbfile-1.0.8.tar.gz" 47 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "luit-1.1.1.tar.bz2" 42 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
